"current_season","Month","Numerator","Population","Jurisdiction","Estimate","Age_group_label","Legend","Child or adult"
"2023-24","APR","1023","30474","Alaska","0.0336","2-4 years","2023-24, Alaska: 2-4 years","Child"
"2023-24","APR","1111","112689","Nevada","0.0099","2-4 years","2023-24, Nevada: 2-4 years","Child"
"2023-24","APR","1139","36853","South Dakota","0.0309","2-4 years","2023-24, South Dakota: 2-4 years","Child"
"2023-24","APR","1139","37112","Montana","0.0307","2-4 years","2023-24, Montana: 2-4 years","Child"
"2023-24","APR","1150","36075","N. Mariana Islands","0.0319","18+ years","2023-24, N. Mariana Islands: 18+ years","Adult"
"2023-24","APR","1153","70468","Idaho","0.0164","2-4 years","2023-24, Idaho: 2-4 years","Child"
"2023-24","APR","1247","32285","North Dakota","0.0386","2-4 years","2023-24, North Dakota: 2-4 years","Child"
"2023-24","APR","1276","51368","Hawaii","0.0248","2-4 years","2023-24, Hawaii: 2-4 years","Child"
"2023-24","APR","1317","239102","Alabama","0.0055","5-8 years","2023-24, Alabama: 5-8 years","Child"
"2023-24","APR","1334","101371","Federated States of Micronesia","0.0132","Overall","2023-24, Federated States of Micronesia: Overall","All"
"2023-24","APR","1424","155373","Oklahoma","0.0092","2-4 years","2023-24, Oklahoma: 2-4 years","Child"
"2023-24","APR","1438","553690.5","Puerto Rico","0.0026","6 months to 17 years","2023-24, Puerto Rico: 6 months to 17 years","Child"
"2023-24","APR","1467","242051","Louisiana","0.0061","5-8 years","2023-24, Louisiana: 5-8 years","Child"
"2023-24","APR","1476","51467.5","N. Mariana Islands","0.0287","Overall","2023-24, N. Mariana Islands: Overall","All"
"2023-24","APR","1485","104247","West Virginia","0.0142","13-17 years","2023-24, West Virginia: 13-17 years","Child"
"2023-24","APR","1498","203909","Mississippi","0.0073","13-17 years","2023-24, Mississippi: 13-17 years","Child"
"2023-24","APR","1504","45161","Delaware","0.0333","5-8 years","2023-24, Delaware: 5-8 years","Child"
"2023-24","APR","1542","41226","Alaska","0.0374","5-8 years","2023-24, Alaska: 5-8 years","Child"
"2023-24","APR","1621","154434","Arkansas","0.0105","5-8 years","2023-24, Arkansas: 5-8 years","Child"
"2023-24","APR","1706","49273","South Dakota","0.0346","5-8 years","2023-24, South Dakota: 5-8 years","Child"
"2023-24","APR","1737","40264","Alaska","0.0431","9-12 years","2023-24, Alaska: 9-12 years","Child"
"2023-24","APR","1750","241497","Louisiana","0.0072","9-12 years","2023-24, Louisiana: 9-12 years","Child"
"2023-24","APR","1780","8232","Vermont","0.2162","6-23 months","2023-24, Vermont: 6-23 months","Child"
"2023-24","APR","1789","245322","Alabama","0.0073","9-12 years","2023-24, Alabama: 9-12 years","Child"
"2023-24","APR","1818","46331","Delaware","0.0392","9-12 years","2023-24, Delaware: 9-12 years","Child"
"2023-24","APR","1828","51927","Montana","0.0352","5-8 years","2023-24, Montana: 5-8 years","Child"
"2023-24","APR","1870","39611","North Dakota","0.0472","9-12 years","2023-24, North Dakota: 9-12 years","Child"
"2023-24","APR","1914","48907","South Dakota","0.0391","9-12 years","2023-24, South Dakota: 9-12 years","Child"
"2023-24","APR","1977","99629","Idaho","0.0198","5-8 years","2023-24, Idaho: 5-8 years","Child"
"2023-24","APR","1996","129929.5","Wyoming","0.0154","6 months to 17 years","2023-24, Wyoming: 6 months to 17 years","Child"
"2023-24","APR","2010","52303","Montana","0.0384","9-12 years","2023-24, Montana: 9-12 years","Child"
"2023-24","APR","2033","79533.5","Kentucky","0.0256","6-23 months","2023-24, Kentucky: 6-23 months","Child"
"2023-24","APR","2083","157739","Arkansas","0.0132","9-12 years","2023-24, Arkansas: 9-12 years","Child"
"2023-24","APR","2127","34451","New Mexico","0.0617","6-23 months","2023-24, New Mexico: 6-23 months","Child"
"2023-24","APR","2175","70041","Hawaii","0.0311","5-8 years","2023-24, Hawaii: 5-8 years","Child"
"2023-24","APR","2176","332603","Florida","0.0065","6-23 months","2023-24, Florida: 6-23 months","Child"
