"","X","hosp","week","year","Location","temp","inverse_temp","humid_smooth","odds_frequency","incident","time","t","humid_smooth_mult","pop_size_2023","hosp_per_100k","date","mean_indoor"
"91",91,2117,39,2023,"CA",17.3572053011294,11.7642219596359,65.5674974246971,0.371460456810945,0.00505332814230848,2023.75,91,0,39198693,5.40069027301497,2019-09-29,95.9785956828683
"92",92,1999,40,2023,"CA",19.4264161476541,9.69501111311127,64.8968610867439,0.372614063480108,0.0124879652580239,2023.76923076923,92,0,39198693,5.09965982794375,2019-10-06,94.5373764969544
"93",93,1803,41,2023,"CA",18.8028745723508,10.3185526884145,65.4697077437422,0.373165590265456,0.0122515855087106,2023.78846153846,93,0,39198693,4.59964315646953,2019-10-13,93.8954563529566
"94",94,1490,42,2023,"CA",18.8969639826714,10.224463278094,62.0045330156382,0.373717560444288,0.0111537709337386,2023.80769230769,94,0,39198693,3.80114714539079,2019-10-20,95.9744229426388
"95",95,1411,43,2023,"CA",15.1560770811354,13.9653501796299,64.2760970877638,0.342905148019278,0.00960218542502799,2023.82692307692,95,0,39198693,3.59960981352108,2019-10-27,96.8716099759357
"96",96,1333,44,2023,"CA",15.0718257381085,14.0496015226569,64.7672535294598,0.313444653713194,0.00800449287449892,2023.84615384615,96,0,39198693,3.40062358711807,2019-11-03,102.162570306355
"97",97,1803,45,2023,"CA",14.6099616535304,14.511465607235,64.5380095232799,0.3479117142852,0.0102374883861962,2023.86538461538,97,0,39198693,4.59964315646953,2019-11-10,101.53611697302
"98",98,1842,46,2023,"CA",14.0526920617677,15.0687351989976,64.886584678852,0.414426049451919,0.0088022839351723,2023.88461538462,98,0,39198693,4.69913626967103,2019-11-17,103.161354560531
"99",99,1686,47,2023,"CA",12.2220887990902,16.8993384616751,70.2880327557995,0.429444707882885,0.00776496979490519,2023.90384615385,99,0,39198693,4.30116381686502,2019-11-24,113.597771668665
"100",100,1764,48,2023,"CA",9.72264766920635,19.398779591559,71.7164056376537,0.444785731484299,0.00699525788372636,2023.92307692308,100,0,39198693,4.50015004326802,2019-12-01,119.847641099068
"101",101,2705,49,2023,"CA",11.5281411440575,17.5932861167078,72.67822777409,0.437524699506519,0.00548429386980198,2023.94230769231,101,0,39198693,6.90074028743765,2019-12-08,116.623502799432
"102",102,2862,50,2023,"CA",9.52762191437333,19.593805346392,78.4585790291688,0.430336285831,0.00499781323399635,2023.96153846154,102,0,39198693,7.30126384571037,2019-12-15,125.255913641805
"103",103,2548,51,2023,"CA",11.9023589856554,17.2190682751099,80.9908417098656,0.45571525250444,0.00453859023543289,2023.98076923077,103,0,39198693,6.50021672916492,2019-12-22,107.885720402463
"104",104,2744,52,2023,"CA",10.6705101801955,18.4509170805698,81.4264513584534,0.696968875531612,0.00407930266076879,2024,104,0,39198693,7.00023340063915,2019-12-29,108.239079004765
"105",105,3332,1,2024,"CA",9.46659698976643,19.6548302709989,84.4211454311522,1.73501625061601,0.00329056315596951,2024.01923076923,105,0,39198693,8.50028341506182,2019-01-06,110.79823879015
"106",106,3449,53,2023,"CA",11.1344143785019,17.9870128822635,83.1923469795173,1.09442826149681,0.00329056315596951,2024.01923076923,106,0,39198693,8.79876275466633,NA,100
"107",107,3175,2,2024,"CA",7.43088668070097,21.6905405800644,85.0990216396973,2.52624795086899,0.00281416546005052,2024.03846153846,107,0,39198693,8.0997598567891,2019-01-13,113.65012239435
"108",108,3018,3,2024,"CA",10.4188900647553,18.70253719601,84.1621308429262,3.96163293793381,0.00235220788709617,2024.05769230769,108,0,39198693,7.69923629851638,2019-01-20,104.408526367328
"109",109,2117,4,2024,"CA",11.907693259597,17.2137340011683,84.8006173879144,4.7292728882393,0.00195804242704565,2024.07692307692,109,0,39198693,5.40069027301497,2019-01-27,114.213391664182
"110",110,2117,5,2024,"CA",11.5786906999274,17.542736560838,84.5476396783571,5.77792002908768,0.00168502106983816,2024.09615384615,110,0,39198693,5.40069027301497,2019-02-03,115.591561002038
"111",111,1921,6,2024,"CA",8.78784703739902,20.3335802233663,83.6693532143594,5.57075197267868,0.00136456185874199,2024.11538461538,111,0,39198693,4.90067360154075,2019-02-10,115.722701493112
"112",112,1490,7,2024,"CA",10.14572939615,18.9756978646153,82.4319294270324,5.37587255259637,0.00139880782596964,2024.13461538462,112,0,39198693,3.80114714539079,2019-02-17,104.44527267295
"113",113,1568,8,2024,"CA",11.3155261953762,17.8059010653891,81.64201584148,3.80653728785809,0.00150546757291565,2024.15384615385,113,0,39198693,4.0001333717938,2019-02-24,117.062380760485
"114",114,1098,9,2024,"CA",10.5918655141901,18.5295617465752,79.6587745093438,2.85715136359593,0.0016311627423727,2024.17307692308,114,0,39198693,2.80111380244234,2019-03-03,113.529297127673
"115",115,823,10,2024,"CA",9.87678861013677,19.2446386506286,76.5966409389782,2.50882297518508,0.00172816360267941,2024.19230769231,115,0,39198693,2.0995597990984,2019-03-10,96.207014388839
"116",116,1137,11,2024,"CA",11.9604091992354,17.1610180615299,76.3952951560065,2.21819676266272,0.00177019031109467,2024.21153846154,116,0,39198693,2.90060691564385,2019-03-17,100.925495769109
"117",117,941,12,2024,"CA",12.3094442000285,16.8119830607368,75.662139721842,1.74872620945591,0.00176879820648816,2024.23076923077,117,0,39198693,2.40059024416962,2019-03-24,98.1090311191588
"118",118,1019,13,2024,"CA",10.4802536968252,18.6411735639401,74.806215650694,1.39879062589228,0.00173284787973777,2024.25,118,0,39198693,2.59957647057263,2019-03-31,102.502451463676
"119",119,941,14,2024,"CA",10.6071125614439,18.5143146993215,77.2684919459681,1.11033360533439,0.00154245898854685,2024.26923076923,119,0,39198693,2.40059024416962,2019-04-07,92.4753276892694
"120",120,862,15,2024,"CA",12.7660724887942,16.3553547719712,75.7850763777011,0.883804224991619,0.00147060864559153,2024.28846153846,120,0,39198693,2.19905291229991,2019-04-14,91.5312508156436
"121",121,784,16,2024,"CA",13.1214149914418,16.0000122693235,72.5584535093319,0.67152904456039,0.00139410507053552,2024.30769230769,121,0,39198693,2.0000666858969,2019-04-21,94.9567745198568
"122",122,823,17,2024,"CA",14.211663492454,14.9097637683114,69.9510584834385,0.502249136264876,0.00132349642494399,2024.32692307692,122,0,39198693,2.0995597990984,2019-04-28,97.8153045398286
"123",123,823,18,2024,"CA",14.488485392058,14.6329418687074,66.8660168474553,0.404906907274427,0.00126933087038212,2024.34615384615,123,0,39198693,2.0995597990984,2019-05-05,97.8490170815359
"124",124,941,19,2024,"CA",15.2383904917242,13.8830367690411,64.0375766660244,0.31941209100531,0.00148785842468819,2024.36538461538,124,0,39198693,2.40059024416962,2019-05-12,104.151582868778
"125",125,1019,20,2024,"CA",15.6222571021099,13.4991701586554,62.5416225697838,0.242925525423665,0.00146169075151525,2024.38461538462,125,0,39198693,2.59957647057263,2019-05-19,96.2585959982608
"126",126,1098,21,2024,"CA",15.809003833479,13.3124234272863,61.5626396755964,0.266329487603016,0.00141877837721041,2024.40384615385,126,0,39198693,2.80111380244234,2019-05-26,85.327314614412
"127",127,1490,22,2024,"CA",17.3169695393463,11.8044577214191,61.4490649404994,0.323384361861728,0.00133167244658617,2024.42307692308,127,0,39198693,3.80114714539079,2019-06-02,88.1288593858031
"128",128,1411,23,2024,"CA",19.5034818797462,9.61794538101909,58.2180844592785,0.385823056537665,0.00180284805382012,2024.44230769231,128,0,39198693,3.59960981352108,2019-06-09,92.2604368820778
"129",129,1764,24,2024,"CA",18.4451674120873,10.6762598486781,57.2021295135875,0.410018160568132,0.00144065019205194,2024.46153846154,129,0,39198693,4.50015004326802,2019-06-16,88.5388822665714
"130",130,1921,25,2024,"CA",18.1454044362898,10.9760228244755,55.5880080287244,0.435073122180058,0.000986512978697895,2024.48076923077,130,0,39198693,4.90067360154075,2019-06-23,89.3114418777046
"131",131,2391,26,2024,"CA",19.8731025372932,9.24832472347213,54.8062298942953,0.452746640333935,0.000469988775430028,2024.5,131,0,39198693,6.0996931708922,2019-06-30,82.0704295002613
"132",132,3057,27,2024,"CA",23.7817386906475,5.33968857011785,56.6323694667085,0.470860899748142,0,2024.51923076923,132,0,39198693,7.79872941171789,2019-07-07,93.153192761779
"133",133,2901,28,2024,"CA",21.9922988463295,7.12912841443588,56.5394435841317,0.387575862176876,0,2024.53846153846,133,0,39198693,7.40075695891187,2019-07-14,91.1310310744287
"134",134,2470,29,2024,"CA",19.8975406928532,9.22388656791211,59.3509221007253,0.313217138816759,0,2024.55769230769,134,0,39198693,6.30123050276192,2019-07-21,89.5917600753505
"135",135,2862,30,2024,"CA",21.5347915280611,7.58663573270424,61.5378531879713,0.282771037253966,0,2024.57692307692,135,0,39198693,7.30126384571037,2019-07-28,93.7271573375823
"136",136,3175,31,2024,"CA",19.1905832615891,9.93084399917628,61.8559543823832,0.253704693762266,0,2024.59615384615,136,0,39198693,8.0997598567891,2019-08-04,90.3132353358683
"137",137,2744,32,2024,"CA",19.9529845708969,9.16844268986843,63.0498750197136,0.240012306466644,0.000564325132392833,2024.61538461538,137,0,39198693,7.00023340063915,2019-08-11,95.3632579892983
"138",138,2783,33,2024,"CA",19.5121209847003,9.60930627606501,62.5903915625888,0.282907639810863,0.00105996739355492,2024.63461538462,138,0,39198693,7.09972651384065,2019-08-18,90.3572877903036
"139",139,2548,34,2024,"CA",18.6000517092103,10.5213755515551,61.2904228711254,0.367249894900181,0.00159421596759581,2024.65384615385,139,0,39198693,6.50021672916492,2019-08-25,92.704467577594
"140",140,2078,35,2024,"CA",20.3999759431254,8.72145131763997,61.0473117979368,0.463462367641753,0.00208126158645643,2024.67307692308,140,0,39198693,5.30119715981347,2019-09-01,93.1407442942642
"141",141,1646,36,2024,"CA",20.8566261909366,8.26480106982872,62.9269507805622,0.56691998696196,0.0105348587574714,2024.69230769231,141,0,39198693,4.19911959819681,2019-09-08,96.2172473139053
"142",142,1764,37,2024,"CA",19.0122872524373,10.109140008328,64.0788765793383,0.686117961613447,0.0113020813773564,2024.71153846154,142,0,39198693,4.50015004326802,2019-09-15,93.2859593231355
"143",143,1254,38,2024,"CA",16.7176868684273,12.4037403923381,62.5839417893732,0.832050612299097,0.0114212200456802,2024.73076923077,143,0,39198693,3.19908625524836,2019-09-22,97.60682416598
